Contaminant,Commodity,Contaminant Level Type,Level,Reference,Link to Reference,Notes
" Aldrin & Dieldrin"," Tangerines"," Action Level"," 0.02 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Tomatoes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Turnip tops"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Turnips"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Animal fat, rendered"," Action Level"," 0.3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Animal feed, processed"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Asparagus"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Bananas"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Beans"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Beet greens"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Beets (with or without tops)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Brassica�(cole) leafy vegetables (except broccoli raab, Chinese mustard cabbage, and rape greens)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Carrots"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Celery"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Citrus fruits"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Corn"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Cucumbers"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Eggplant"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Fish (edible portion)"," Action Level"," 0.3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Lettuce"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Melons"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Okra"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Onions"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Papayas"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Parsnips"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Peanuts"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Peas"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Peppers"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Pineapple"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Pome fruits (except crabapples and loquats)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Potatoes"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Radish tops"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Radishes"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Rutabaga tops"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Rutabagas (with or without tops)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Small fruits and berries (except cranberries, currants, elderberries, gooseberries, and olallie berries)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Spinach"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Squash"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Stone fruits (except chicasaw, samson, and japanese plums)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Sweet potatoes"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Swiss chard"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Tomatoes"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Turnip greens"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Chlordane"," Turnips (with or without tops)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Animal feed, processed"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Artichokes"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Asparagus"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Avocadoes"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Beets (roots and tops)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Dicofol (trade name kelthane)"," Animal feed, processed"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Ethylene dibromide"," Honey, ready-to-eat (will not undergo further processing prior to consumption)"," Action Level"," 30 ppb"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Ethylene dibromide"," Intermediate (milled) grain products (must be cooked prior to consumption)"," Action Level"," 150 ppb"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Ethylene dibromide"," Ready to eat (cooked) grain products (require no cooking prior to consumption)"," Action Level"," 30 ppb"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Animal feed, processed"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Artichokes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Asparagus"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Brassica�(cole) leafy vegetables (except broccoli raab, chinese mustard cabbage, and rape greens)"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Beans, except snap beans"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Citrus fruits"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Cucumbers"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Eggplant"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Eggs"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Figs"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Fish (edible portion)"," Action Level"," 0.3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Hay"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Leafy vegetables"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Melons"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Carrots"," Action Level"," 3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Okra"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Pears"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Pimentos"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Pumpkins"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Quinces"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Rice"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Small  fruits"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Squash"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Heptachlor & Heptachlor Epoxide"," Stone fruits"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Animal feed, processed"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Celery"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Artichokes"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Barley"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Beans"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Citrus fruits"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Cocoa beans, whole raw bean"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Corn"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Corn, fresh sweet"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Eggs"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Endive"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Figs"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Cereal grains (except buckwheat, fresh sweetcorn, millet, popcorn, teosinte, and wild rice)"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Hay"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Milk"," Action Level"," 0.3 ppm (fat basis)"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Oats"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Peas"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Rice"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Root vegetables"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Rye"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Small fruits"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Sorghum (milo)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Turnip greens"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Citrus fruits"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Lindane"," Wheat"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Mirex"," Fish"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Cocoa beans"," Action Level"," 1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Corn, fresh sweet"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Cottonseed"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
