Contaminant,Commodity,Contaminant Level Type,Level,Reference,Link to Reference,Notes
" DDT, DDE, & TDE"," Cucumbers"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Eggplant"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Eggs"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Endive (escarole)"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Fish"," Action Level"," 5 ppm (edible portion)"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Grapes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Guavas"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Hay"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Hops"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Legume vegetables (except guar, jackbeans, lablab beans, and lentils)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Lettuce"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Mangoes"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Melons"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Milk"," Action Level"," 1.25 ppm (fat basis)"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Mushrooms"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Okra"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Onions (dry bulb)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Papayas"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Parsnips (roots and tops)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Peanuts"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Peppermint hay"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Peppermint oil"," Action Level"," 1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Peppers"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Pineapples"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Pome fruits (except crabapples and loquats)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Potatoes"," Action Level"," 1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Radishes (roots and tops)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Rutabagas (roots and tops)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Small fruits and berries (except elderberries, grapes and olallie berries)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Soybean oil (crude)"," Action Level"," 1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Spearmint hay"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Spearmint oil"," Action Level"," 1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Spinach"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Squash"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Stone fruits (except chickasaw, damson, and japanese plums)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Sweet potatoes"," Action Level"," 1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Swiss chard"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Tomato pomace"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Tomatoes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" DDT, DDE, & TDE"," Turnips (roots and tops)"," Action Level"," 0.2 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Cereal grains (except buckwheat, millet, popcorn, teosinte, and wild rice)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Citrus fruits"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Cocoa beans"," Action Level"," 0.5 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Cucurbit vegetables (except balsam pears, chinese waxgourds, gherkins, and gourds)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Eggplant"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Eggs"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Endive"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Figs"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Frog legs (edible portion)"," Action Level"," 0.3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Guavas"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Hay"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Lettuce"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Mangoes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Milk"," Action Level"," 0.3 ppm (fat basis)"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Okra"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Onions"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Paprika"," Action Level"," 1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Pears"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Peas"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Pecans"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Peppers"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Pineapples"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Quinces"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Rabbits"," Action Level"," 0.3 ppm (fat basis)"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Root and tuber vegetables (except carrots)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Small fruits and berries"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Spinach"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Stone fruits (except chickasaw, damson, and japanese plums)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Swiss chard"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Tomatoes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Turnip Greens"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Cesium-134 + Cesium-137"," All foods as prepared for consumption"," Derived Intervention Level"," 1200 Bq/kg"," CPG 555.880"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-555880-guidance-levels-radionuclides-domestic-and-imported-foods",
" Iodine-131"," All foods as prepared for consumption"," Derived Intervention Level"," 170 Bq/kg"," CPG 555.880"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-555880-guidance-levels-radionuclides-domestic-and-imported-foods",
" Plutonium-238 + Plutonium-239 + Americium-241"," All foods as prepared for consumption"," Derived Intervention Level"," 2 Bq/kg"," CPG 555.880"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-555880-guidance-levels-radionuclides-domestic-and-imported-foods",
" Ruthenium-103 + Ruthenium-106"," All foods as prepared for consumption"," Derived Intervention Level"," <1 Bq/kg"," CPG 555.880"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-555880-guidance-levels-radionuclides-domestic-and-imported-foods"," The equation for calculating adherence to the DIL is (C3 / 6800 ) + ( C6 / 450 ) < 1. Due to the large differences in DILs for Ruthenium-103 and Ruthenium-106, the individual concentrations of Ruthenium-103 and Ruthenium-106 are divided by their respective DILs and then summed. The DIL for the Ruthenium group is set at less than one. C3 and C6 are the concentrations, at the time of measurement, for Ruthenium-103 and Ruthenium-106, respectively."
" Strontium-90"," All foods as prepared for consumption"," Derived Intervention Level"," 160 Bq/kg"," CPG 555.880"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-555880-guidance-levels-radionuclides-domestic-and-imported-foods",
" Cadmium"," Ceramicware -�large hollowware"," Action Level"," 0.25 �g/mL leaching solution"," CPG 545.400�"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545400-pottery-ceramics-import-and-domestic-cadmium-contamination",
" Cadmium"," Ceramicware -�flatware"," Action Level"," 0.5 �g/mL leaching solution"," CPG 545.400"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545400-pottery-ceramics-import-and-domestic-cadmium-contamination",
" Cadmium"," Ceramicware -�small hollowware"," Action Level"," 0.5 �g/mL leaching solution"," CPG 545.400"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545400-pottery-ceramics-import-and-domestic-cadmium-contamination",
" Inorganic Arsenic"," Apple juice"," Action Level"," 10 ppb"," Guidance for Industry: Action Level for Inorganic Arsenic in Apple Juice"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-action-level-inorganic-arsenic-apple-juice",
" Inorganic Arsenic"," Rice cereals for infants"," Action Level"," 100 ppb"," Guidance for Industry: Action Level for Inorganic Arsenic in Rice Cereals for Infants"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-action-level-inorganic-arsenic-rice-cereals-infants",
" Lead"," Ceramicware - cups and mugs"," Action Level"," 0.5 �g/ml�leaching�solution"," CPG 545.450"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545450-pottery-ceramics-import-and-domestic-lead-contamination",
" Lead"," Ceramicware -�pitchers"," Action Level"," 0.5 �g/ml�leaching�solution"," CPG 545.450"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545450-pottery-ceramics-import-and-domestic-lead-contamination",
" Lead"," Silver-plated hollowware -�product intended for use by infants and children"," Action Level"," 0.5 �g/ml�leaching�solution"," CPG 545.500"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545500-silver-plated-hollowware-lead-contamination",
" Lead"," Ceramicware -�large hollowware (other than pitchers)"," Action Level"," 1  �g/ml�leaching�solution"," CPG 545.450"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545450-pottery-ceramics-import-and-domestic-lead-contamination",
" Lead"," Ceramicware -�small hollowware (other than cups and mugs)"," Action Level"," 2 �g/ml�leaching�solution"," CPG 545.450"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545450-pottery-ceramics-import-and-domestic-lead-contamination",
" Lead"," Ceramicware -�flatware"," Action Level"," 3 �g/ml�leaching�solution"," CPG�545.450"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545450-pottery-ceramics-import-and-domestic-lead-contamination",
" Lead"," Silver-plated hollowware - product intended for use by adults"," Action Level"," 7 �g/ml�leaching�solution"," CPG 545.500"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-545500-silver-plated-hollowware-lead-contamination",
" Lead"," Candy intended for small children"," Recommended Maximum Level"," 0.1 ppm"," Guidance for Industry: Lead in Candy Likely To Be Consumed Frequently by Small Children"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-lead-candy-likely-be-consumed-frequently-small-children",
" Mercury"," Fish, shellfish, crustaceans, other aquatic animals (fresh, frozen or processed)"," Action Level"," 1 ppm methyl mercury in edible portion"," CPG�540.600"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-540600-fish-shellfish-crustaceans-and-other-aquatic-animals-fresh-frozen-or-processed-methyl",
" Mercury"," Wheat (pink kernels only)"," Action Level"," 1 ppm on pink kernels and an average of 10 or more pink kernels per 500 grams"," CPG 578.400"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-578400-treated-grain-seed-mercury-residue",
" Lead"," Processed food intended for babies and young children - fruits, vegetables (excluding single-ingredient root vegetables), mixtures (including grain- and meat-based mixtures), yogurts, custards/puddings, and single-ingredient meats"," Action Level"," 10 ppb"," Guidance for Industry: Action Levels for Lead in Processed Food Intended for Babies and Young Children"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-action-levels-lead-processed-food-intended-babies-and-young-children",
" Lead"," Processed food intended for babies and young children -  single-ingredient root vegetables"," Action Level"," 20 ppb"," Guidance for Industry: Action Levels for Lead in Processed Food Intended for Babies and Young Children"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-action-levels-lead-processed-food-intended-babies-and-young-children",
" Lead"," Processed food intended for babies and young children - dry infant cereals."," Action Level"," 20 ppb"," Guidance for Industry: Action Levels for Lead in Processed Food Intended for Babies and Young Children"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-action-levels-lead-processed-food-intended-babies-and-young-children",
" Lead"," Juice"," Guidance Level"," 50 ppb"," Guidance for Industry: Juice Hazard Analysis Critical Control Point Hazards and Controls Guidance, First Edition"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-juice-hazard-analysis-critical-control-point-hazards-and-controls-guidance-first",
